system,metal,dope,bader,BaderOcc,Rel_Occ,d_EF,d_occ,up d-occ,down d-occ,dup-Ef,ddown-Ef,d-edge,d-fr ,d-fr up,d-fr down,t2g at fermi,eg at fermi,t2g up fermi,t2g dn fermi,eg up fermi,eg dwn fermi,t2g occ,eg occ,t2g up occ,t2g down occ,eg up occ,eg down occ,zc-occ,zc fermi,zc up fermi,zc dwn fermi,zc up occ,zc down occ,fwhm,d -3,d3 occ,d3up,d3dwn,d3upocc,d3dwnocc,d-band,up d-center,down d-center,Wd corr. Dband,t2g center,eg center,t2g-up center,t2g-down center,eg-up center,eg-down center,ZC center,zc up center,zc down center,zs,ebs,eas,eds,ed3s,d-center,up d-center,down d-center,Wd corr. Dband,t2g center,eg center,t2g-up center,t2g-down center,eg-up center,eg-down center,ZC center,zc up center,zc down center,ed,ea,eb,ez,Dd,Dwd,Ddup,Dddwn,Da,Db,Daup,Dadwn,Dbup,Dbdwn,Dz,Dzup,Dzdwn,Dd3,Dd3up,Dd3dwn,Dd,Dwd,Ddup,Dddwn,Da,Db,Daup,Dadwn,Dbup,Dbdwn,Dz,Dzup,Dzdwn,pc,poc,pf,y
1,2,0,0.93,8.07,0.052,1.827,7.305,4.048,3.257,0.019,1.808,0.25,0.422,0.242,0.604,1.354,0.474,0.016,1.337,0.003,0.471,3.719,3.587,2.219,1.499,1.829,1.758,4.55,1.826,0.019,1.806,2.649,1.902,0.885,-0.944,5.919,-1.187,-0.638,3.293,2.625,-1.93,-2.147,-1.72,-0.702,-2.5,-1.33,-2.54,-2.44,-1.55,-1.09,-1.32,-1.541,-1.002,-1.408,-1.339,-2.519,-1.976,-1.006,-1.063,-1.43,-0.693,0.274,-0.99,-1.177,-1.43,-0.548,-1.429,-0.924,-0.84,-1.28,-0.4,-1.143,-1.161,-1.264,-0.984,-6.872,26.661,-2.831,-4.7,-3.757,-3.048,-1.552,-2.735,-1.28,-1.903,-5.417,-2.07,-4.755,-6.271,-2.774,-4.113,-3.78,-10.4,-1.89,-1.89,-1.49,-2.7,-0.87,-0.61,-1.18,-1.61,-3.45,-1.72,-1.9,-6.97,1.76,0.78,0.48
1,2,0,0.909,8.091,0.031,1.512,7.287,4.081,3.206,0.011,1.501,0.305,0.417,0.238,0.598,1.002,0.509,0.011,0.991,0,0.509,3.696,3.59,2.247,1.449,1.834,1.756,4.52,1.503,0.011,1.493,2.673,1.848,0.522,-0.978,5.881,-1.241,-0.641,3.306,2.576,-1.96,-2.15,-1.73,-0.741,-2.55,-1.35,-2.59,-2.5,-1.6,-1.09,-1.37,-1.607,-1.02,-1.477,-1.361,-2.569,-2.01,-1.053,-1.067,-1.473,-0.657,0.282,-1.001,-1.171,-1.49,-0.509,-1.447,-0.893,-0.84,-1.33,-0.355,-1.165,-1.213,-1.281,-1.018,-6.829,25.839,-2.771,-4.88,-3.692,-3.066,-1.508,-2.847,-1.267,-1.966,-5.381,-2.01,-5.206,-6.012,-2.664,-4.016,-3.72,-9.84,-1.9,-1.85,-1.45,-2.66,-0.87,-0.58,-1.15,-1.61,-3.3,-1.66,-1.81,-6.94,1.76,0.52,0.44
1,2,0,0.907,8.093,0.029,1.591,7.294,4.088,3.206,0.036,1.555,0.316,0.404,0.201,0.608,1.211,0.38,0.036,1.174,0,0.38,3.685,3.61,2.253,1.432,1.835,1.774,4.52,1.587,0.036,1.55,2.676,1.845,0.842,-0.998,5.866,-1.269,-0.65,3.296,2.57,-1.98,-2.18,-1.74,-0.766,-2.6,-1.365,-2.63,-2.54,-1.62,-1.09,-1.4,-1.644,-1.033,-1.512,-1.374,-2.62,-2.033,-1.074,-1.086,-1.505,-0.665,0.263,-1.021,-1.19,-1.528,-0.511,-1.47,-0.909,-0.87,-1.367,-0.363,-1.188,-1.248,-1.308,-1.055,-6.716,27.734,-2.716,-4.821,-3.609,-3.034,-1.474,-2.802,-1.248,-1.952,-5.195,-1.958,-5.083,-5.88,-2.597,-3.957,-3.68,-9.53,-1.88,-1.84,-1.42,-2.64,-0.86,-0.56,-1.13,-1.63,-3.23,-1.63,-1.79,-6.83,1.77,1.45,0.35
1,2,0,0.895,8.105,0.017,1.634,7.306,4.066,3.24,0.017,1.617,0.288,0.421,0.239,0.605,1.209,0.424,0.017,1.192,0,0.424,3.71,3.6,2.24,1.47,1.832,1.77,4.54,1.63,0.017,1.613,2.66,1.88,0.817,-0.968,5.905,-1.224,-0.644,3.298,2.607,-1.95,-2.14,-1.73,-0.728,-2.54,-1.34,-2.58,-2.47,-1.59,-1.09,-1.35,-1.59,-1.02,-1.448,-1.349,-2.563,-1.996,-1.036,-1.064,-1.455,-0.671,0.288,-1,-1.166,-1.471,-0.526,-1.43,-0.9,-0.84,-1.303,-0.364,-1.153,-1.196,-1.265,-1.001,-6.867,25.368,-2.795,-4.829,-3.71,-3.087,-1.523,-2.795,-1.281,-1.967,-5.405,-2.041,-5.165,-6.099,-2.694,-4.046,-3.75,-10.03,-1.9,-1.87,-1.46,-2.69,-0.87,-0.6,-1.15,-1.62,-3.36,-1.67,-1.84,-6.99,1.77,0.81,0.45
1,2,0,0.896,8.104,0.018,1.548,7.301,4.077,3.224,0.012,1.536,0.304,0.411,0.225,0.599,1.061,0.48,0.013,1.048,0,0.48,3.697,3.605,2.249,1.448,1.834,1.771,4.52,1.535,0.013,1.522,2.67,1.852,0.88,-0.974,5.891,-1.238,-0.64,3.299,2.592,-1.96,-2.15,-1.73,-0.737,-2.558,-1.35,-2.597,-2.498,-1.599,-1.091,-1.37,-1.606,-1.024,-1.475,-1.359,-2.579,-2.009,-1.046,-1.06,-1.463,-0.653,0.297,-1,-1.166,-1.486,-0.512,-1.439,-0.89,-0.84,-1.318,-0.351,-1.155,-1.211,-1.275,-1.015,-6.888,24.582,-2.787,-4.937,-3.697,-3.092,-1.513,-2.828,-1.274,-1.99,-5.381,-2.026,-5.276,-6.045,-2.666,-4.052,-3.73,-9.9,-1.9,-1.86,-1.45,-2.67,-0.87,-0.58,-1.15,-1.62,-3.3,-1.66,-1.81,-6.98,1.77,0.68,0.43
1,2,0,0.894,8.106,0.016,1.604,7.311,4.083,3.23,0.033,1.571,0.316,0.408,0.212,0.605,1.166,0.438,0.033,1.133,0,0.438,3.686,3.601,2.249,1.437,1.834,1.767,4.53,1.599,0.033,1.566,2.674,1.844,0.845,-0.987,5.869,-1.253,-0.645,3.299,2.57,-1.97,-2.16,-1.72,-0.753,-2.574,-1.355,-2.614,-2.512,-1.609,-1.09,-1.38,-1.625,-1.028,-1.49,-1.365,-2.596,-2.021,-1.062,-1.055,-1.466,-0.641,0.308,-1.003,-1.137,-1.5,-0.503,-1.413,-0.859,-0.821,-1.312,-0.327,-1.151,-1.222,-1.248,-1.002,-6.93,23.737,-2.785,-5.039,-3.676,-3.166,-1.5,-2.858,-1.298,-2.056,-5.515,-2.039,-5.636,-5.947,-2.633,-3.982,-3.71,-9.71,-1.89,-1.88,-1.43,-2.66,-0.86,-0.57,-1.14,-1.62,-3.28,-1.65,-1.79,-6.89,1.77,1.5,0.38
1,2,0,0.907,8.093,0.029,1.57,7.288,4.072,3.216,0.018,1.552,0.297,0.418,0.236,0.601,1.117,0.456,0.018,1.099,0,0.456,3.696,3.596,2.24,1.457,1.833,1.764,4.53,1.569,0.018,1.551,2.666,1.861,0.874,-0.975,5.878,-1.233,-0.646,3.296,2.582,-1.96,-2.14,-1.74,-0.739,-2.556,-1.348,-2.595,-2.495,-1.594,-1.093,-1.37,-1.601,-1.025,-1.472,-1.358,-2.577,-2.007,-1.046,-1.052,-1.45,-0.651,0.309,-0.997,-1.15,-1.477,-0.514,-1.419,-0.878,-0.82,-1.299,-0.344,-1.146,-1.201,-1.253,-0.99,-6.928,23.586,-2.808,-4.94,-3.707,-3.127,-1.517,-2.835,-1.292,-2.009,-5.524,-2.052,-5.41,-6.029,-2.674,-3.996,-3.72,-9.86,-1.9,-1.85,-1.45,-2.67,-0.86,-0.58,-1.15,-1.61,-3.31,-1.67,-1.82,-6.99,1.77,0.89,0.44
1,2,0,0.944,8.056,0.067,1.576,7.297,4.077,3.22,0.014,1.562,0.303,0.41,0.219,0.602,1.151,0.432,0.014,1.137,0,0.432,3.705,3.6,2.244,1.462,1.833,1.766,4.54,1.578,0.014,1.564,2.67,1.869,0.83,-0.975,5.886,-1.237,-0.641,3.299,2.587,-1.96,-2.15,-1.73,-0.738,-2.549,-1.347,-2.597,-2.477,-1.598,-1.088,-1.37,-1.606,-1.015,-1.474,-1.356,-2.574,-2.009,-1.047,-1.05,-1.453,-0.644,0.312,-0.996,-1.141,-1.481,-0.507,-1.414,-0.866,-0.82,-1.299,-0.332,-1.145,-1.202,-1.243,-0.991,-6.949,23.387,-2.806,-5,-3.72,-3.155,-1.515,-2.884,-1.296,-2.039,-5.537,-2.055,-5.63,-6.038,-2.667,-4.036,-3.72,-9.88,-1.9,-1.86,-1.45,-2.67,-0.86,-0.59,-1.15,-1.62,-3.31,-1.66,-1.84,-6.99,1.77,0.86,0.43
1,2,1,0.916,8.085,0.038,2.024,7.29,4.043,3.247,0.022,2.002,0.227,0.44,0.256,0.625,1.371,0.653,0.022,1.349,0,0.653,3.724,3.565,2.214,1.511,1.829,1.736,4.558,2.021,0.022,1.999,2.653,1.905,0.815,-0.935,5.979,-1.184,-0.622,3.326,2.653,-1.842,-2.028,-1.612,-0.673,-2.38,-1.28,-2.453,-2.275,-1.514,-1.034,-1.26,-1.501,-0.934,-1.353,-1.293,-2.414,-1.887,-0.998,-1.019,-1.393,-0.642,0.261,-0.955,-1.121,-1.398,-0.509,-1.385,-0.855,-0.81,-1.252,-0.358,-1.101,-1.123,-1.204,-0.957,-7.154,27.931,-2.902,-5.058,-3.899,-3.18,-1.584,-2.969,-1.321,-2.03,-5.627,-2.119,-5.321,-6.398,-2.81,-4.265,-3.96,-10.83,-1.99,-2.01,-1.56,-2.79,-0.9,-0.66,-1.21,-1.68,-3.62,-1.77,-2.04,-6.91,1.76,0.57,0.45
1,2,1,0.923,8.077,0.045,1.829,7.278,4.074,3.205,0.011,1.818,0.285,0.435,0.254,0.617,1.176,0.653,0.011,1.166,0,0.653,3.707,3.572,2.241,1.466,1.833,1.739,4.536,1.819,0.011,1.809,2.676,1.86,0.506,-0.786,6.174,-0.785,-0.786,3.087,3.087,-1.874,-2.077,-1.618,-0.708,-2.428,-1.299,-2.502,-2.315,-1.557,-1.028,-1.31,-1.565,-0.942,-1.422,-1.313,-2.467,-1.929,-0.786,-1.031,-1.444,-0.616,0.255,-0.97,-1.128,-1.461,-0.476,-1.416,-0.837,-0.82,-1.312,-0.327,-1.13,-1.176,-1.233,-0.997,-7.059,28.541,-2.821,-5.203,-3.822,-3.167,-1.534,-3.08,-1.294,-2.078,-5.532,-2.04,-5.688,-7.86,-3.93,-3.929,-3.88,-10.28,-1.96,-1.98,-1.53,-2.75,-0.9,-0.63,-1.18,-1.69,-3.46,-1.71,-1.97,-6.88,1.77,0.36,0.41
